Artist,Album,Track,day,genre
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],C.R.E.A.M.,Thursday,hip-hop
Freddie Gibbs,Piñata,Uno,Wednesday,hip-hop
Al Green,Al Green Explores Your Mind,Take Me To The River,Wednesday,hip-hop
Bob Dylan,Blood on the Tracks,Lily Rosemary and the Jack of Hearts,Tuesday,folk
David Hazeltine,The New Classic Trio,I'll Let You Know,Monday,jazz
This Will Destroy You,Another Language,Memory Loss,Friday,alternative
Spoon,Transference,Who Makes Your Money,Tuesday,alternative
El Ten Eleven,Every Direction Is North,The 49th Day,Sunday,alternative
Radiohead,Kid A,Optimistic,Saturday,alternative
The Replacements,For Sale: Live at Maxwell's 1986,I'm In Trouble - Live at Maxwell's Hoboken NJ 2/4/86,Sunday,alternative
Better Oblivion Community Center,Better Oblivion Community Center,Chesapeake,Thursday,folk
Cloud Nothings,Last Building Burning,Leave Him Now,Thursday,alternative
Lake Street Dive,Obviously,Know That I Know,Tuesday,hip-hop
Eyolf Dale,Return to Mind,Taplow,Tuesday,jazz
Bob Dylan,New Morning,If Not for You,Thursday,folk
Danny Brown,uknowhatimsayin¿,Theme Song,Friday,hip-hop
Simon & Garfunkel,Bridge Over Troubled Water,Cecilia,Friday,folk
Petros Klampanis,Minor Dispute,FERRY FRENZY,Wednesday,jazz
Joe Hisaishi,Dream Songs: The Essential Joe Hisaishi,Silent Love - From 'A Scene at the Sea',Thursday,alternative
Reuben,Racecar Is Racecar Backwards (Tenth Anniversary Deluxe Edition),No One Wins the War,Tuesday,rock
Billy Bragg,Mermaid Avenue Vol. II,Remember the Mountain Bed,Friday,folk
Gorillaz,Humanz (Deluxe),Saturnz Barz (feat. Popcaan),Monday,alternative
The Smiths,Strangeways Here We Come,Unhappy Birthday - 2011 Remaster,Sunday,alternative
Valerie June,Pushin' Against A Stone,Workin' Woman Blues,Thursday,folk
Bob Dylan,New Morning,Father of Night,Wednesday,folk
Bob Dylan,Rough and Rowdy Ways,Crossing the Rubicon,Monday,folk
Danny Brown,uknowhatimsayin¿,Belly of The Beast,Saturday,hip-hop
The Smiths,The Queen Is Dead (Deluxe Edition),The Queen Is Dead - 2017 Master,Saturday,alternative
Patty Griffin,Flaming Red,Big Daddy,Thursday,folk
Ben Flocks,Mask of the Muse,Ebb Tide,Tuesday,jazz
Zander Jazz Trio,Misty,Misty,Wednesday,jazz
The 1975,I like it when you sleep for you are so beautiful yet so unaware of it,The Sound,Thursday,alternative
Lalo Schifrin,Dirty Harry,Prologue - The Swimming Pool,Monday,jazz
Bon Iver,Bon Iver,Michicant,Sunday,folk
Ben Sidran,Dylan Different,Knockin' On Heaven's Door,Thursday,jazz
Billy Bragg,Mermaid Avenue,California Stars,Friday,folk
Bob Dylan,Blood on the Tracks,You're Gonna Make Me Lonesome When You Go,Tuesday,folk
Cloud Nothings,Life Without Sound,Strange Year,Thursday,alternative
Freddie Gibbs,Piñata,Piñata (feat. Domo Genesis G-Wiz Casey Veggies Sulaiman Meechy Darko Mac Miller),Wednesday,hip-hop
Slowdive,Slowdive,Star Roving,Saturday,alternative
Gin Blossoms,New Miserable Experience,Hey Jealousy,Sunday,alternative
Bob Dylan,Bringing It All Back Home,On the Road Again,Friday,folk
Missy Elliott,Under Construction,Work It,Friday,hip-hop
Jeff Rupert,The Ripple,Detour Ahead,Tuesday,jazz
Bob Dylan,Rough and Rowdy Ways,I've Made Up My Mind to Give Myself to You,Friday,folk
Simon & Garfunkel,Bridge Over Troubled Water,The Only Living Boy in New York,Saturday,folk
Nujabes,Luv(sic) hexalogy,LUV (SIC) pt2,Monday,hip-hop
The 1975,Notes on a Conditional Form,The End (Music for Cars),Sunday,alternative
Cloud Nothings,Attack on Memory,No Future/No Past,Tuesday,alternative
Simon & Garfunkel,Bridge Over Troubled Water,Why Don't You Write Me,Friday,folk
Bully,SUGAREGG,Stuck in Your Head,Friday,rock
The Night Game,The Outfield,The Outfield,Friday,pop
The Replacements,Sorry Ma Forgot to Take Out the Trash (Expanded),Takin' a Ride,Thursday,alternative
Bob Dylan,Blonde on Blonde,Pledging My Time,Friday,folk
Elliott,False Cathedrals,Calm Americans,Wednesday,rock
Stevie Wonder,At The Close Of A Century,All I Do,Wednesday,hip-hop
Wolvves,Go Demon or Go Home EP,Home,Thursday,hip-hop
